Designator,Mid X,Mid Y,Rotation,Layer
A1,135.055,-182.925,0.0,bottom
R4,223.0875,-60.0,180.0,bottom
R5,215.361944,-57.225459,0.0,bottom
S1,101.015482,-111.976692,0.0,top
S10,269.939522,-91.526797,0.0,top
S11,297.387775,-120.420696,0.0,top
S12,298.571422,-91.526797,0.0,top
S13,326.386677,-130.848474,0.0,top
S14,327.305741,-101.954575,0.0,top
S2,128.704952,-100.623287,0.0,top
S3,157.532237,-100.768381,0.0,top
S4,183.933671,-111.976692,0.0,top
S5,203.000741,-162.810831,0.0,top
S6,232.419764,-162.810831,0.0,top
S7,242.417031,-131.461974,0.0,top
S8,243.572228,-103.001529,0.0,top
S9,268.767255,-120.420696,0.0,top
SW1,120.379209,-69.168833,90.0,top
SW2,130.979209,-69.168833,90.0,top
SW3,141.579209,-69.168833,90.0,top
SW4,152.179209,-69.168833,90.0,top
USB1,218.368924,-45.756922,180.0,bottom
